,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
996,Daniele Verde,2937,14,7,1,2,84,36,2,0,1487,16,27,22,8.5,6.9,6.6,105,13,893,1237,101,913,79,55,22,0.721907842,10,ITA,RW,25-064,Spezia,740000,38.097
997,Ryan Bertrand,2935,0,1,0,0,8,3,6,0,2032,68,31,27,0.3,0.3,1.3,45,4,1337,1760,118,928,48,9,3,0.759659091,5,ENG,LB,32-037,Leicester City,4160000,721.915
998,Atakan Karazor,2935,0,1,0,0,12,3,12,1,2141,68,55,55,0.3,0.3,1.5,45,3,1435,1719,115,1055,15,35,20,0.834787667,16,GER,CM,24-305,Stuttgart,470000,175.73
999,Geoffrey Kondogbia,2933,1,2,0,0,24,5,18,2,1940,120,63,33,0.3,0.3,1.2,42,6,1344,1580,131,1040,30,58,50,0.850632911,4,CTA,DM,28-181,Atlético Madrid,6900000,1271.6
1000,Ismail Jakobs,2929,1,2,0,0,27,7,7,0,1965,57,33,34,2.9,2.9,5.3,74,8,1084,1611,104,993,79,33,15,0.672873991,14,SEN,LB,21-354,Monaco,650000,1265.23
1001,Djibril Sidibe,2929,0,2,0,0,9,2,9,0,2896,82,66,30,0.2,0.2,2.8,71,4,2113,2608,205,1534,77,24,12,0.810199387,19,FRA,RW,29-008,Monaco,3210000,1265.23
1002,Arne Maier,2928,1,6,0,0,28,10,0,0,1574,34,23,28,2,2,4.6,97,11,947,1310,115,809,43,42,24,0.722900763,10,GER,DM,22-218,Augsburg,640000,132.01
1003,Emil Krafth,2922,1,1,0,0,13,4,9,0,1682,56,40,31,0.7,0.7,1.5,33,3,967,1360,78,660,41,8,5,0.711029412,17,SWE,CB,27-013,Newcastle Utd,3000000,472.835
1004,Renato Sanches,2921,3,8,0,0,43,7,12,1,2536,32,27,27,3,3,5.2,129,18,1804,2202,286,1832,107,119,83,0.819255223,18,POR,"RM,CM",23-355,Lille,3600000,675.665
1005,Angel Rodriguez,2918,9,2,1,2,65,23,8,0,920,22,5,22,9.5,7.9,1.2,63,7,385,564,42,528,46,49,24,0.682624113,22,ESP,FW,34-110,Mallorca,340000,26.5
1006,Mahmoud Dahoud,2916,3,4,0,0,38,9,9,1,2318,72,35,41,1.7,1.7,4.3,87,12,1625,1989,209,1341,49,66,48,0.816993464,8,GER,DM,25-225,Dortmund,4000000,1092.74
1007,Lucas Martinez Quarta,2914,2,0,0,0,32,8,12,1,2316,68,58,49,2.7,2.7,1.3,31,2,1674,1953,146,1441,53,40,25,0.857142857,2,ARG,CB,25-110,Fiorentina,1280000,629.862
1008,Dodi Lukebakio,2913,7,7,3,3,60,25,6,1,1241,30,27,21,10.9,8.5,5.2,84,15,645,871,64,798,92,117,69,0.740528129,11,BEL,FW,23-325,Hertha BSC,2500000,316.645
1009,Christopher Lenz,2912,0,4,0,0,22,6,9,0,2195,103,42,43,0.8,0.8,3.8,72,6,1311,1843,129,937,60,38,24,0.711340206,25,GER,LB,26-326,Eint Frankfurt,720000,340.805
1010,Luca Ceppitelli,2910,1,1,0,0,13,2,6,0,1943,48,50,44,0.9,0.9,0.4,19,3,1374,1648,86,994,13,4,4,0.833737864,23,ITA,CB,32-012,Cagliari,1850000,235.996
1011,Riccardo Marchizza,2907,0,3,0,0,15,1,8,0,1898,41,21,28,0.6,0.6,3,50,7,1221,1636,103,1000,60,41,18,0.746332518,3,ITA,LB,23-148,Empoli,930000,40.2
1012,Ciaran Clark,2905,1,1,0,0,15,3,5,1,1490,37,42,41,1.8,1.8,0.4,15,2,947,1178,52,751,11,13,8,0.803904924,2,IRL,CB,31-323,Newcastle Utd,1820000,472.835
1013,James McArthur,2905,0,5,0,0,15,3,7,0,2112,90,53,51,0.5,0.5,2.7,58,7,1416,1735,164,1117,44,49,35,0.816138329,18,SCO,CM,33-311,Crystal Palace,2860000,255.145
1014,Ryad Boudebouz,2903,3,5,1,3,38,12,4,0,2331,36,15,20,3.9,1.5,6.3,144,8,1577,2053,231,1468,105,104,69,0.768144179,7,ALG,FW,31-170,Saint-Étienne,2280000,178.1
1015,Leon Bailey,2902,10,10,0,0,79,29,9,0,1586,31,10,23,7.6,7.6,6.8,120,14,818,1188,87,966,146,165,87,0.688552189,31,JAM,"LM,LW",24-005,Aston Villa,4420000,523.44
1016,Florian Niederlechner,2902,10,7,0,0,75,30,5,1,849,13,14,17,10.3,10.3,3,61,11,367,541,50,461,33,51,24,0.678373383,7,GER,FW,30-294,Augsburg,1500000,132.01
1017,Giuseppe Pezzella,2900,1,6,0,0,16,3,10,0,1976,62,21,35,0.7,0.7,4.1,42,9,1274,1655,115,1093,93,68,43,0.76978852,13,ITA,WB,23-265,Atalanta,650000,633.372
1018,Anthony Modeste,2899,20,4,1,1,115,44,5,0,818,12,4,14,18.9,18.1,2.9,42,5,321,505,33,419,14,14,5,0.635643564,27,FRA,FW,33-123,Köln,3200000,132.055
1019,Wesley Fofana,2892,0,0,0,0,14,3,9,0,2630,63,73,33,1.3,1.3,0.3,23,1,1971,2268,121,1707,47,24,18,0.869047619,3,FRA,CB,21-106,Leicester City,1000000,721.915
1020,Diogo Dalot,2891,1,1,0,0,23,9,9,0,2195,87,54,42,0.8,0.8,1.9,63,7,1401,1813,144,1081,81,37,26,0.772752344,20,POR,"WB,RW",22-164,Manchester Utd,1300000,947.13
1021,Felipe Anderson,2891,6,8,0,0,44,16,2,0,1876,72,20,65,6.3,6.3,6.4,115,19,1121,1441,124,1097,144,108,58,0.777931992,7,BRA,"LW,RW",28-128,Lazio,2820000,346.366
1022,Jeremy Toljan,2889,0,3,0,0,8,2,4,0,2006,39,25,27,0.3,0.3,2.2,63,7,1532,1741,120,1062,68,30,14,0.879954049,22,GER,RB,27-013,Sassuolo,900000,428.985
1023,Moussa Dembele,2884,22,4,5,5,113,46,9,0,997,20,13,17,24.7,20.7,4.9,87,16,387,580,37,564,34,65,34,0.667241379,9,FRA,FW,25-026,Lyon,4100000,800.84
1024,Luke Thomas,2881,1,1,0,0,11,3,4,0,2168,73,57,50,0.4,0.4,1.9,45,4,1365,1770,122,1032,43,41,21,0.771186441,33,ENG,"LB,WB",20-065,Leicester City,600000,721.915
1025,Thomas Strakosha,2880,0,0,0,0,0,0,3,0,1147,1,1,0,0,0,0,4,1,908,1081,1,724,0,0,0,0.839962997,1,ALB,GK,26-261,Lazio,2220000,346.366
1026,Vanja Milinkovic-Savic,2880,0,0,0,0,1,0,3,0,1253,1,0,0,0.1,0.1,0,8,2,644,1202,1,769,0,2,2,0.53577371,32,SRB,GK,24-182,Torino,740000,331.15
1027,Cardenas,2880,0,0,0,0,0,0,4,0,1091,1,4,0,0,0,0,6,0,694,989,0,526,0,0,0,0.701718908,34,ESP,GK,24-153,Levante,200000,129.3
1028,Marc Albrighton,2878,2,7,0,0,25,10,5,0,1868,64,31,44,1.8,1.8,5.7,96,14,974,1491,110,972,67,106,52,0.65325285,11,ENG,RM,31-283,Leicester City,2340000,721.915
1029,Sean Longstaff,2876,1,2,0,0,30,7,3,0,1526,85,28,44,2.2,2.2,1.8,55,6,948,1195,88,735,7,20,10,0.793305439,36,ENG,CM,23-289,Newcastle Utd,50000,472.835
1030,Matteo Darmian,2875,5,4,0,0,17,8,9,0,1565,68,42,27,2.2,2.2,2.8,74,7,1029,1290,82,693,45,19,7,0.797674419,36,ITA,WB,31-262,Inter,2560000,1112.366
