,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
0,Hugo Lloris,6840,0,0,0,0,0,0,2,0,2185,1,1,0,0,0,0.2,8,4,1568,2036,0,1095,0,0,0,0.770137525,1,FRA,GK,34-232,Tottenham,5200000,699.47
1,Alban Lafont,6840,0,0,0,0,0,0,5,0,2476,4,1,2,0,0,0,5,1,1337,2238,0,1229,0,0,0,0.5974084,1,FRA,GK,22-195,Nantes,1020000,145.4
2,Jan Oblak,6840,0,0,0,0,1,0,2,0,2230,0,1,0,0,0,0,8,1,1282,2099,0,1032,0,3,3,0.610767032,13,SVN,GK,28-220,Atlético Madrid,20800000,1271.6
3,Walter Benitez,6750,0,0,0,0,0,0,5,0,2403,1,1,2,0,0,0,6,1,1771,2258,1,1356,0,0,0,0.784322409,40,ARG,GK,28-201,Nice,1030000,348.652
4,Kasper Schmeichel,6750,0,0,0,0,0,0,2,0,2700,0,1,0,0,0,0,10,3,1872,2545,2,1402,1,3,2,0.735559921,1,DEN,GK,34-282,Leicester City,6760000,721.915
5,Rui Patricio,6749,0,0,0,0,0,0,3,0,2008,0,1,1,0,0,0,5,0,1390,1891,2,986,0,1,1,0.735060814,1,POR,GK,33-188,Roma,3460000,1045.163
6,Predrag Rajkovic,6705,0,0,0,0,0,0,5,0,2918,4,3,2,0,0,0,14,1,1864,2717,1,1619,0,3,3,0.686050791,1,SRB,GK,25-281,Reims,720000,131.05
8,Emiliano Martinez,6660,0,0,0,0,0,0,5,0,2562,4,2,0,0,0,0.2,10,2,1696,2422,0,1421,0,0,0,0.700247729,1,ARG,GK,28-346,Aston Villa,2470000,523.44
9,Thibaut Courtois,6660,0,0,0,0,0,0,1,0,2604,1,1,1,0,0,0,7,0,2023,2460,1,1552,0,0,0,0.822357724,1,BEL,GK,29-095,Real Madrid,11820000,1178.05
10,Andrea Consigli,6652,0,0,0,0,0,0,3,0,3036,2,0,0,0,0,0,12,2,2263,2827,1,1774,0,0,0,0.800495225,47,ITA,GK,34-206,Sassuolo,1850000,428.985
11,James Ward-Prowse,6635,18,12,7,8,90,40,8,1,5483,116,82,79,10.9,4.5,10.1,237,19,3830,4849,378,2471,55,42,29,0.789853578,8,ENG,CM,26-286,Southampton,2340000,503.82
12,Pierre Hojbjerg,6616,4,6,0,0,45,17,12,0,6019,176,96,112,3,3,3.8,145,17,4742,5353,460,3559,82,92,65,0.885858397,5,DEN,RM,26-010,Tottenham,5300000,699.47
13,Jose Fonte,6605,3,2,0,0,48,16,11,0,5137,63,80,75,3.7,3.7,1.6,66,10,3967,4483,254,3198,28,11,10,0.884898505,6,POR,CB,37-229,Lille,1680000,675.665
14,Joao Pedro,6576,29,7,7,9,158,63,13,0,2413,28,21,55,25.2,18.4,8.6,184,16,1190,1659,160,1391,83,152,73,0.717299578,10,ITA,RW,29-167,Cagliari,2590000,235.996
15,Ederson,6570,0,1,0,0,0,0,6,0,2343,5,0,0,0,0,0.3,8,2,1955,2250,4,1550,0,0,0,0.868888889,31,BRA,GK,27-363,Manchester City,3380000,1252.81
16,Alex Remiro,6570,0,0,0,0,0,0,1,0,2606,0,4,0,0,0,0,11,1,1821,2478,1,1390,0,1,1,0.734866828,1,ESP,GK,26-144,Real Sociedad,2230000,205.3
17,Samir Handanovic,6570,0,0,0,0,0,0,2,0,2462,2,0,1,0,0,0,10,1,2008,2340,0,1519,0,0,0,0.858119658,1,SVN,GK,37-038,Inter,5930000,1112.366
18,Illan Meslier,6534,0,0,0,0,0,0,2,0,2954,1,0,0,0,0,0,10,1,2146,2761,0,1754,0,2,2,0.777254618,1,FRA,GK,21-165,Leeds United,1144000,165.7
19,Tomas Soucek,6481,15,2,0,0,109,34,10,1,3842,144,114,77,14,13.3,4.1,100,12,2254,2984,306,1688,63,45,26,0.75536193,28,CZE,DM,26-169,West Ham,3500000,594.61
20,Aaron Ramsdale,6480,0,0,0,0,0,0,2,0,2532,3,2,0,0,0,0.1,10,0,1364,2331,1,1457,0,3,3,0.585156585,32,ENG,GK,23-120,Arsenal,3220000,922.52
21,Lukasz Fabianski,6480,0,0,0,0,0,0,4,0,2161,1,1,1,0,0,0,7,0,1288,2028,0,1153,0,0,0,0.635108481,1,POL,GK,36-119,West Ham,3380000,594.61
22,John McGinn,6420,6,9,0,0,88,27,20,0,3539,167,78,91,3.7,3.7,8.6,223,21,2125,2804,417,1987,85,145,96,0.757845934,7,SCO,"DM,CM",26-300,Aston Villa,1300000,523.44
23,Fernando Pacheco,6402,0,0,0,0,0,0,2,0,2275,4,2,0,0,0,0.3,16,0,1397,2115,0,1024,0,0,0,0.660520095,1,ESP,GK,29-088,Alavés,1470000,82.63
24,Anthony Lopes,6402,0,0,0,0,0,0,3,1,2473,1,4,1,0,0,0,6,0,1922,2312,10,1391,1,1,1,0.831314879,1,POR,GK,30-310,Lyon,4800000,800.84
25,Unai Simon,6390,0,0,0,0,0,0,4,0,2088,1,1,0,0,0,0,14,0,1425,1999,2,1082,0,1,1,0.712856428,1,ESP,GK,24-078,Athletic Club,4350000,221.9
26,Lorenzo Montipo,6390,0,0,0,0,0,0,4,0,2400,0,1,1,0,0,0,3,0,1342,2215,1,1161,0,1,1,0.605869074,96,ITA,GK,25-188,Hellas Verona,500000,177.008
27,Tyrone Mings,6383,3,5,0,0,40,12,17,1,4106,55,87,106,3.7,3.7,2,53,7,2650,3380,195,2297,35,20,17,0.784023669,5,ENG,CB,28-154,Aston Villa,4160000,523.44
28,Mahdi Camara,6363,6,2,0,0,51,24,12,0,3995,200,135,94,5.3,5.3,2.2,146,8,2655,3171,273,2262,98,111,66,0.837275307,8,FRA,"DM,CM",23-039,Saint-Étienne,300000,178.1
29,Javi Galan,6363,1,5,0,0,28,6,13,0,4861,196,84,78,0.4,0.3,6.3,142,11,3096,3988,204,2691,217,276,206,0.776328987,17,ESP,LB,26-269,Celta Vigo,1500000,187.272
30,James Tarkowski,6346,2,2,0,0,44,11,17,0,3299,131,92,129,5.9,5.9,1.6,57,2,1705,2469,180,1288,7,21,17,0.690562981,5,ENG,CB,28-268,Burnley,2600000,257.44
31,Marc Cucurella,6333,4,3,0,0,44,11,14,0,4455,157,70,87,2.1,2.1,6,187,6,2813,3707,294,2325,181,114,52,0.758834637,15,ESP,"LM,LB",23-022,Getafe,2230000,146.8
32,Stuart Dallas,6328,9,3,0,0,78,26,12,0,4656,167,101,86,5.7,5.7,4,163,10,3136,3920,403,2460,177,76,51,0.8,15,NIR,"CM,LB",30-117,Leeds United,416000,165.7
33,Gaetan Laborde,6326,31,16,2,2,197,76,5,0,2463,64,29,61,27.9,26.2,10.2,174,36,1056,1662,132,1285,126,108,44,0.635379061,10,FRA,RW,27-097,Montpellier,2160000,160.75
34,Harry Kane,6314,40,23,8,8,262,96,6,0,2780,37,14,54,38.7,32.3,15.9,255,47,1289,1910,275,1700,162,200,106,0.67486911,10,ENG,FW,28-025,Tottenham,10400000,699.47
35,Jeremias Ledesma,6300,0,0,0,0,1,1,4,0,2381,4,1,1,0,0,0,19,1,1086,2167,1,1067,0,4,3,0.501153669,1,ARG,GK,28-182,Cádiz,1280000,16.2
36,Mike Maignan,6300,0,1,0,0,0,0,2,0,2338,2,1,0,0,0,0.5,14,2,1692,2225,5,1411,0,1,1,0.760449438,16,FRA,GK,26-051,Milan,3590000,851.405
37,Paul Bernardoni,6300,0,0,0,0,0,0,1,0,2082,4,2,0,0,0,0,1,0,1237,1906,0,1039,0,0,0,0.649003148,1,FRA,GK,24-112,Angers,1200000,150.1
38,Ollie Watkins,6280,25,7,2,3,171,74,11,1,2285,46,19,46,25.9,23.8,8.4,194,23,1076,1542,115,1342,158,138,77,0.697795071,11,ENG,FW,25-241,Aston Villa,3900000,523.44
39,Matt Targett,6275,1,3,0,0,19,7,10,0,4458,158,103,71,1.1,1.1,6.4,162,13,2805,3801,367,1975,56,48,26,0.737963694,3,ENG,LB,25-330,Aston Villa,1820000,523.44
40,David Garcia,6255,5,0,0,0,44,6,16,0,3552,54,111,63,1.9,1.9,1,39,2,2157,2846,241,1573,11,6,5,0.757905833,5,ESP,CB,27-181,Osasuna,620000,36.05
41,Wout Faes,6229,5,0,0,0,33,10,15,2,3812,75,121,87,3.4,3.4,0.1,33,1,2634,3080,169,2255,35,25,19,0.855194805,2,BEL,CB,23-127,Reims,420000,131.05
42,Salvatore Sirigu,6210,0,0,0,0,0,0,0,0,2355,2,0,0,0,0,0,7,0,1488,2188,0,1210,0,0,0,0.680073126,57,ITA,GK,34-221,Genoa,3700000,511.115
43,Alessio Cragno,6210,0,0,0,0,0,0,4,0,2353,3,2,0,0,0,0,8,1,1446,2180,0,1120,0,0,0,0.663302752,28,ITA,GK,27-056,Cagliari,1850000,235.996
44,Bruno Fernandes,6210,28,18,9,12,198,69,16,0,5155,111,43,74,25.5,15.9,20.3,339,36,3282,4431,522,2946,158,97,49,0.740690589,18,POR,AM,26-340,Manchester Utd,9360000,947.13
45,Alisson,6210,1,1,0,0,1,1,1,0,2708,6,2,1,0.1,0.1,0.2,7,1,2214,2545,2,1582,0,3,3,0.869941061,1,BRA,GK,28-316,Liverpool,7800000,852.97
46,Ismael Traore,6208,7,4,0,0,38,14,4,0,4084,60,84,52,5.4,5.4,2.1,47,5,3022,3511,141,2614,18,28,19,0.860723441,8,CIV,CB,34-355,Angers,780000,150.1
47,Sergio Herrera,6198,0,0,0,0,0,0,5,0,2510,3,4,1,0,0,0.2,7,0,1281,2316,1,1185,0,4,4,0.553108808,1,ESP,GK,28-070,Osasuna,950000,36.05
48,Dwight McNeil,6176,2,6,0,0,78,24,2,0,3323,125,67,108,3,3,10.6,205,16,1718,2526,205,1954,195,253,153,0.680126683,11,ENG,LM,21-265,Burnley,260000,257.44
49,Joselu,6148,25,7,8,11,179,61,1,0,2932,43,22,47,25.4,16.7,8.2,153,17,1257,2154,207,1383,52,106,46,0.58356546,9,ESP,FW,31-140,Alavés,710000,82.63
50,Gian Marco Ferrari,6138,1,4,0,0,50,15,13,1,5601,48,93,83,3.6,3.6,1.5,67,6,4523,4991,320,3445,59,24,14,0.906231216,31,ITA,CB,29-187,Sassuolo,1110000,428.985
51,Rafal Gikiewicz,6120,0,0,0,0,0,0,3,0,2840,2,6,0,0,0,0,17,2,1795,2634,1,1521,0,1,1,0.681473045,1,POL,GK,33-292,Augsburg,540000,132.01
52,Nick Pope,6120,0,0,0,0,0,0,2,0,2272,1,4,0,0,0,0.2,19,0,1061,2077,1,1049,0,0,0,0.510832932,1,ENG,GK,29-117,Burnley,1820000,257.44
53,Son Heung-min,6120,40,17,1,1,153,83,2,0,3051,47,27,55,25.4,24.7,15.9,264,31,1857,2442,177,1794,204,164,90,0.76044226,7,KOR,FW,29-038,Tottenham,9984000,699.47
54,Marco Silvestri,6120,0,0,0,0,0,0,2,0,2066,0,1,0,0,0,0,3,0,1082,1905,0,968,0,0,0,0.567979003,1,ITA,GK,30-173,Udinese,930000,321.167
55,Christian Gunter,6120,5,12,0,0,50,13,4,0,3836,68,46,61,1.6,1.6,13,217,23,2329,3312,235,1756,124,80,36,0.703200483,30,GER,WB,28-167,Freiburg,810000,190.475
56,Giovanni Di Lorenzo,6109,4,10,0,0,47,16,14,0,5496,137,73,65,4.8,4.8,8.2,184,25,4236,4876,455,3350,170,100,50,0.868744873,22,ITA,RB,28-018,Napoli,4260000,733.75
57,Juan Musso,6079,0,0,0,0,0,0,6,1,2112,2,1,0,0,0,0,4,0,1484,1975,0,1189,0,2,2,0.751392405,1,ARG,GK,27-107,Atalanta,2960000,633.372
58,Robin Le Normand,6077,1,2,0,0,36,6,11,1,4447,83,84,69,3.7,3.7,0.9,25,8,3348,3870,216,2647,49,8,6,0.865116279,24,ESP,CB,24-277,Real Sociedad,1110000,205.3
59,Ben White,6071,0,0,0,0,22,4,8,1,4262,93,104,88,1.5,1.5,2,65,8,3045,3651,273,2520,88,52,34,0.834018077,4,ENG,CB,23-309,Arsenal,6240000,922.52
60,Declan Rice,6058,3,5,1,2,51,15,10,0,4398,139,122,84,4.1,2.5,3.3,137,15,3338,3758,425,2706,178,106,79,0.888238425,41,ENG,DM,22-213,West Ham,160000,594.61
61,Djene,6056,0,2,0,0,6,1,19,3,2974,105,101,48,0.3,0.3,0.7,45,6,1788,2390,160,1481,35,33,31,0.748117155,2,TOG,CB,29-225,Getafe,2200000,146.8
62,Stefan Ortega,6030,0,1,0,0,0,0,2,0,3896,3,0,2,0,0,0.7,40,2,2650,3725,5,2492,0,1,1,0.711409396,1,GER,GK,28-281,Arminia,300000,10.985
63,Robin Knoche,6012,1,0,0,0,22,7,10,0,4506,94,98,88,1.7,1.7,0.2,42,2,3115,3822,204,2509,30,27,22,0.815018315,31,GER,CB,29-084,Union Berlin,1500000,59.57
64,Aurelien Tchouameni,5992,5,6,0,0,108,21,20,2,4793,213,161,78,6,6,4.5,127,17,3311,3951,447,2824,89,86,60,0.838015692,8,FRA,"CM,DM",21-191,Monaco,1000000,1265.23
65,Youri Tielemans,5988,12,8,4,4,104,33,9,0,5108,160,67,82,8.6,5.5,7.2,227,31,3512,4427,474,2689,83,103,68,0.793313756,8,BEL,"DM,CM",24-099,Leicester City,1720000,721.915
66,Vicente Guaita,5985,0,0,0,0,0,0,4,0,2185,2,2,0,0,0,0,3,0,1386,2063,0,1170,0,0,0,0.67183713,13,ESP,GK,34-216,Crystal Palace,4000000,255.145
67,Randal Kolo Muani,5977,21,8,0,0,114,51,5,0,1973,50,14,29,20,20,11.2,175,31,768,1160,67,1239,170,223,110,0.662068966,23,FRA,FW,22-244,Nantes,360000,145.4
68,Nikola Milenkovic,5960,4,1,0,0,44,18,17,2,4374,103,83,72,5.8,5.8,0.7,40,5,3312,3784,237,2385,38,13,10,0.875264271,4,SRB,CB,23-314,Fiorentina,4630000,629.862
69,Dylan Bronn,5957,3,2,1,2,29,11,14,1,3533,104,84,63,4,2.4,1.4,50,7,2453,2991,177,2133,51,27,21,0.820127048,2,TUN,CB,26-050,Metz,840000,92.1
70,Cristiano Biraghi,5956,5,6,1,2,61,22,13,1,4765,79,46,51,5,3.4,12.8,218,18,3255,4335,288,2456,152,55,25,0.750865052,3,ITA,LB,28-355,Fiorentina,2220000,629.862
71,Iago Aspas,5951,32,18,8,10,130,57,18,0,3252,25,27,48,26.9,19,14.8,239,41,1951,2646,252,1947,205,168,111,0.73733938,10,ESP,FW,34-014,Celta Vigo,2600000,187.272
72,Marc-Andre ter Stegen,5940,0,0,0,0,1,0,4,0,2428,0,1,0,0.1,0.1,0.1,12,0,2038,2324,3,1395,0,2,2,0.876936317,1,GER,GK,29-121,Barcelona,9000000,1752
73,Peter Gulacsi,5937,0,0,0,0,0,0,1,0,2450,1,3,0,0,0,0,7,0,1973,2348,9,1446,0,0,0,0.840289608,1,HUN,GK,31-101,RB Leipzig,2600000,693.79
74,David Soria,5934,0,0,0,0,0,0,6,0,2170,3,1,0,0,0,0,11,1,1046,2045,0,1025,0,0,0,0.511491443,13,ESP,GK,28-131,Getafe,1510000,146.8
75,Alfonso Espino,5930,2,5,0,0,35,11,12,0,3565,199,95,75,1.5,1.3,3.9,98,7,1742,2800,187,1435,93,75,40,0.622142857,22,URU,LB,29-221,Cádiz,500000,16.2
76,Milan Skriniar,5927,6,0,0,0,40,13,4,0,4871,95,55,66,5.4,5.4,0.9,63,3,3991,4316,243,2896,80,22,18,0.924698795,37,SVK,CB,26-191,Inter,5560000,1112.366
77,Andrew Robertson,5920,4,17,0,0,37,13,7,1,6144,82,44,63,2.6,2.6,12.1,235,32,4509,5653,414,3582,215,76,41,0.797629577,26,SCO,LB,27-170,Liverpool,2600000,852.97
78,Laurent Abergel,5919,3,3,0,0,58,17,14,0,3972,255,101,122,2.6,2.6,5.3,142,18,2630,3224,309,2386,62,98,68,0.815756824,6,FRA,CM,28-188,Lorient,240000,53.5
79,Rodrigo Becao,5910,3,1,0,0,29,8,15,0,3448,140,110,93,2.2,2.2,0.8,52,2,2290,2799,172,1797,45,12,8,0.818149339,50,BRA,CB,25-215,Udinese,770000,321.167
80,Aaron Cresswell,5896,2,11,0,0,37,7,6,0,4678,60,67,60,2.2,2.2,10.1,156,20,3242,4237,348,2453,89,27,12,0.765164031,3,ENG,LB,31-243,West Ham,2600000,594.61
81,Jordan Pickford,5892,0,0,0,0,0,0,3,0,2470,1,4,3,0,0,0.1,19,4,1374,2301,0,1310,0,1,1,0.597131682,1,ENG,GK,27-160,Everton,5200000,830.13
82,Jonathan Gradit,5890,0,1,0,0,7,0,16,1,4437,120,121,76,0.1,0.1,2,69,7,3349,3812,387,2934,137,69,50,0.878541448,24,FRA,CB,28-264,Lens,170000,57.6
83,Hamari Traore,5890,4,11,0,0,54,14,8,0,5217,119,113,60,2.4,2.4,7.9,169,25,3820,4616,381,2937,137,55,33,0.827556326,27,MLI,RB,29-193,Rennes,360000,469.93
84,Emil Audero,5890,0,1,0,0,0,0,2,0,2417,4,3,0,0,0,0.7,11,1,1583,2252,0,1302,0,0,0,0.702930728,1,ITA,GK,24-217,Sampdoria,1480000,462.381
85,Emmanuel Gyasi,5886,10,6,0,0,67,28,14,0,2468,77,30,35,10.8,10.8,5.6,124,16,1540,1881,111,1548,114,124,74,0.81871345,11,GHA,"FW,LW",27-224,Spezia,190000,38.097
86,Trent Alexander-Arnold,5884,4,19,0,0,106,27,4,0,6354,96,92,46,4.6,4.6,20.9,291,31,4284,5772,518,3496,151,100,51,0.742203742,66,ENG,RB,22-311,Liverpool,9360000,852.97
87,Nayef Aguerd,5882,5,3,0,0,53,13,9,1,5485,64,71,58,5.3,5.3,1.1,35,5,4408,4916,237,3496,25,17,14,0.896663954,6,MAR,CB,25-131,Rennes,220000,469.93
88,Yunis Abdelhamid,5872,5,0,0,0,33,11,9,2,4022,107,129,84,2.9,2.9,0.9,39,1,2790,3340,218,2449,41,34,21,0.835329341,5,MAR,CB,33-314,Reims,960000,131.05
89,Roberto Soriano,5872,9,10,0,0,84,27,11,2,3420,105,40,68,8.5,8.5,12.7,212,24,2241,2777,333,2072,128,93,57,0.806985956,21,ITA,AM,30-195,Bologna,2050000,248.088
90,Philipp Lienhart,5863,9,0,0,0,29,11,6,0,4283,45,92,63,5.1,5.1,0.8,43,1,3152,3714,177,2548,32,12,8,0.848680668,3,AUT,CB,25-034,Freiburg,680000,190.475
91,Dusan Vlahovic,5856,45,6,11,12,193,79,5,0,2017,18,5,25,36.5,27.4,5.1,135,20,818,1242,87,1180,69,118,58,0.658615137,9,SRB,FW,21-206,Fiorentina,1030000,629.862
92,Wataru Endo,5854,7,5,0,0,73,30,9,0,4183,138,81,96,7.4,7.2,2.9,137,9,2790,3409,352,2229,69,107,73,0.818421825,3,JPN,CM,28-186,Stuttgart,660000,175.73
93,Kevin Trapp,5850,0,0,0,0,0,0,2,0,2780,0,4,1,0,0,0,6,0,1776,2616,0,1531,0,0,0,0.678899083,1,GER,GK,31-037,Eint Frankfurt,2800000,340.805
94,Sergej Milinkovic-Savic,5846,19,19,0,0,138,52,10,1,5060,126,67,102,14.6,14.6,12.7,214,33,3294,4190,418,2878,126,120,75,0.786157518,21,SRB,RM,26-175,Lazio,5930000,346.366
95,Mohamed Salah,5840,45,18,11,12,253,95,1,0,3247,35,7,17,41.9,32.3,16.3,275,41,1942,2438,258,2215,236,208,89,0.796554553,11,EGY,RW,29-060,Liverpool,10400000,852.97
96,Pau Torres,5825,7,3,0,0,32,12,7,0,4575,49,42,65,4.4,4.4,2.4,50,9,3512,4060,295,2966,106,58,50,0.865024631,4,ESP,CB,24-246,Villarreal,7500000,503.3
97,Gleison Bremer,5825,8,1,0,0,53,19,9,0,3968,100,175,108,7.5,7.5,0.6,47,3,2537,3098,145,2088,46,35,23,0.818915429,3,BRA,CB,24-156,Torino,930000,331.15
98,Daniel Parejo,5816,5,15,1,1,42,14,7,0,5390,108,74,67,2.9,2.1,12,224,26,4253,4943,576,3057,89,82,62,0.860408659,5,ESP,DM,32-156,Villarreal,10830000,503.3
99,Andrei Girotto,5814,7,2,0,0,74,16,11,1,3958,150,128,101,4.4,4.4,2.5,52,7,2536,3158,226,2044,27,16,9,0.803039899,3,BRA,"CM,DM",29-170,Nantes,1080000,145.4
100,Nicolo Barella,5809,6,18,0,0,104,20,14,0,4435,121,47,55,6.7,6.7,14.8,245,35,3145,3807,492,2732,213,116,72,0.826109798,23,ITA,DM,24-195,Inter,9260000,1112.366
101,Edouard Mendy,5805,0,0,0,0,0,0,5,0,2087,1,1,0,0,0,0,3,0,1685,1984,0,1224,0,0,0,0.849294355,16,SEN,GK,29-166,Chelsea,2700000,1491.716
102,Michael Keane,5783,6,3,0,0,36,12,8,1,3828,74,113,79,2.4,2.4,2.7,45,3,2618,3157,157,2059,23,15,11,0.829268293,5,ENG,CB,28-215,Everton,3380000,830.13
103,Razvan Marin,5781,3,11,0,0,68,17,12,1,3541,96,39,52,2.8,2.8,10.9,230,19,2386,3001,301,1964,94,116,56,0.795068311,8,ROU,CM,25-092,Cagliari,1280000,235.996
104,Josh Brownhill,5768,2,4,0,0,63,16,12,0,3034,118,137,70,3.1,3.1,2.9,134,8,1818,2394,189,1296,40,51,30,0.759398496,8,ENG,"RW,RM",25-238,Burnley,2080000,257.44
105,Yassine Bounou,5760,1,2,0,0,1,1,5,0,2286,1,0,0,0.2,0.2,0.5,7,2,1681,2168,0,1251,0,2,2,0.775369004,13,MAR,GK,30-140,Sevilla,1660000,807.11
106,Oliver Baumann,5760,0,0,0,0,0,0,2,0,3038,0,2,0,0,0,0,7,0,2274,2872,2,1832,0,1,1,0.79178273,1,GER,GK,31-073,Hoffenheim,3150000,298.42
107,Lukasz Skorupski,5760,0,0,0,0,0,0,5,0,2396,1,0,0,0,0,0,4,0,1691,2212,0,1250,0,0,0,0.764466546,28,POL,GK,30-109,Bologna,1670000,248.088
108,Robert Sanchez,5759,0,0,0,0,0,0,5,1,2774,3,1,2,0,0,0.3,7,0,1894,2631,2,1699,0,0,0,0.719878373,1,ESP,GK,23-269,Brighton,520000,447.14
109,Matty Cash,5749,4,5,0,0,46,15,16,1,3748,160,109,104,2.8,2.8,4.5,100,9,2072,2947,172,1763,132,77,45,0.703087886,2,POL,RB,24-007,Aston Villa,3380000,523.44
110,Ludovic Blas,5748,20,9,5,5,156,56,15,0,2938,91,52,66,19.6,15.7,7.4,191,27,1597,2024,289,1950,142,302,154,0.789031621,10,FRA,"RM,AM",23-218,Nantes,960000,145.4
111,Benjamin Bourigeaud,5745,17,17,0,0,115,45,10,0,4432,86,49,70,9.8,9.8,17.7,296,29,2816,3850,393,2430,68,37,17,0.731428571,14,FRA,"RW,RM",27-206,Rennes,1680000,469.93
112,Diego Carlos,5745,4,0,0,0,45,15,15,2,4624,57,55,83,3.1,3.1,0.7,35,3,3606,4082,152,2932,6,12,10,0.883390495,20,BRA,CB,28-153,Sevilla,3320000,807.11
113,Jan Bednarek,5729,5,1,0,0,29,12,15,1,4308,69,156,92,2.9,2.9,0.9,43,3,2935,3605,137,2230,13,7,6,0.814147018,35,POL,CB,25-132,Southampton,1040000,503.82
114,David de Gea,5715,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,0,5,1,1141,1516,0,750,0,1,1,0.752638522,1,ESP,GK,30-280,Manchester Utd,19500000,947.13
115,Sergio Busquets,5715,2,5,0,0,17,5,21,0,5989,156,98,71,0.8,0.8,4.6,166,15,4883,5484,545,3477,49,35,29,0.890408461,5,ESP,CM,33-030,Barcelona,22000000,1752
116,Florian Lejeune,5714,1,1,0,0,45,8,19,1,3309,76,82,68,3.5,3.5,1,34,4,2038,2649,140,1622,11,19,13,0.769346923,22,FRA,CB,30-086,Alavés,1430000,82.63
117,Jules Kounde,5711,4,2,0,0,34,9,6,2,5129,67,61,57,3.2,3.2,3,76,8,4027,4548,335,3246,93,79,54,0.885444151,23,FRA,CB,22-276,Sevilla,1100000,807.11
118,Ludovic Ajorque,5705,28,12,7,8,122,54,10,1,2483,66,19,42,26.7,20.4,10.9,161,18,1273,1833,130,1262,54,50,24,0.694489907,25,FRA,FW,27-164,Strasbourg,490000,102.65
119,Ashley Westwood,5697,3,6,0,0,34,8,14,0,3875,44,74,47,1.7,1.7,11.3,170,13,2533,3500,361,1855,33,37,23,0.723714286,18,ENG,"CM,DM",31-135,Burnley,1872000,257.44
120,Brais Mendez,5692,13,5,1,1,105,37,16,0,3552,127,69,79,12.4,11.6,5.7,139,23,2114,2721,313,2085,94,111,46,0.77692025,23,ESP,RM,24-220,Celta Vigo,1350000,187.272
121,Adam Marusic,5687,3,3,0,0,35,15,9,1,3985,68,81,57,2.2,2.2,2.5,90,9,2962,3465,203,2194,105,76,38,0.854834055,77,MNE,RB,28-315,Lazio,1670000,346.366
122,Ezri Konsa,5673,4,0,0,0,37,13,9,2,2897,50,44,84,4.1,4.1,0.3,20,0,1977,2318,77,1567,11,15,12,0.852890423,4,ENG,CB,23-295,Aston Villa,416000,523.44
123,Victor Laguardia,5673,3,3,0,0,21,8,14,1,2865,49,64,61,3.4,3.4,1.5,27,6,1753,2334,122,1354,12,0,0,0.751071123,5,ESP,CB,31-282,Alavés,650000,82.63
124,Boubacar Kamara,5672,1,2,0,0,41,10,11,0,5095,156,80,65,1.6,1.6,4.2,117,14,3955,4465,407,3349,66,80,50,0.885778275,4,FRA,DM,21-258,Marseille,1440000,321.94
125,Denis Suarez,5671,4,15,0,0,38,11,14,0,4663,125,38,62,3.4,3.4,10.4,189,27,3289,4091,420,2752,182,140,78,0.803959912,6,ESP,CM,27-221,Celta Vigo,4680000,187.272
126,Luke Ayling,5671,2,2,0,0,43,9,11,1,5103,182,64,99,2.9,2.9,4.8,85,9,3385,4362,359,2820,155,96,64,0.776020174,2,ENG,RB,29-354,Leeds United,416000,165.7
127,Robin Zentner,5670,0,0,0,0,2,0,3,0,2239,3,5,0,0,0,0.1,6,0,1420,2086,2,1224,0,1,1,0.680728667,27,GER,GK,26-291,Mainz 05,520000,223.85
128,Benoit Costil,5670,0,0,0,0,0,0,1,0,2386,2,1,1,0,0,0,11,1,1569,2233,5,1226,0,3,3,0.702642185,1,FRA,GK,34-036,Bordeaux,2160000,247.16
129,Jordi Alba,5669,5,15,0,0,58,16,20,0,6230,92,82,47,3.3,3.3,14.5,185,23,4813,5724,488,3710,95,54,23,0.840845563,18,ESP,LB,32-147,Barcelona,20830000,1752
130,Seko Fofana,5666,10,4,0,0,137,44,4,0,3692,43,60,40,9.3,9.3,5.5,178,17,2623,3004,298,2572,206,197,120,0.873169108,8,CIV,CM,26-093,Lens,1560000,57.6
131,Nemanja Maksimovic,5664,2,2,0,0,48,9,10,0,2242,106,128,82,4.3,4.3,1.1,79,2,1243,1652,106,960,48,35,23,0.752421308,20,SRB,"CM,LM",26-199,Getafe,2080000,146.8
132,Angelo Fulgini,5654,12,7,1,1,123,45,10,0,3775,57,37,38,11.1,10.3,9,214,22,2397,2996,348,2649,176,280,130,0.800066756,10,FRA,FW,24-353,Angers,460000,150.1
133,Wojciech Szczesny,5647,0,1,0,0,0,0,2,0,2139,1,3,2,0,0,0,10,2,1749,2027,1,1275,0,1,1,0.862851505,1,POL,GK,31-126,Juventus,12040000,1577.673
134,Mauro Arambarri,5646,3,5,0,0,83,17,24,0,3006,126,74,75,3.1,3.1,3.7,138,13,1672,2359,198,1510,70,106,68,0.708774905,18,URU,"CM,RM",25-317,Getafe,1530000,146.8
